rank,PCB_length_mm,PCB_width_mm,PCB_thickness_mm,n_resonances_in_range,resonances_hz,adjacent_spacings_hz,min_spacing_hz,max_response,strong_position,control_position,strong_control_ratio,orientation_ratio,better_orientation_deg,resonance_count_stability,damping_peak_retention,position_sensitivity,overall_stability,score
1,100.0,40.0,1.0,3,"1090, 1541, 2293","451, 752",451.1082755838156,109.44478842829875,"x/a=0.50, y/b=0.25, 90 deg","x/a=0.20, y/b=0.50, 90 deg",4.887281072120115,1.7656201333933004,90.0,1.0,0.250067743939106,0.0497017822306567,0.23763893138693296,5.239208735226249
2,100.0,40.0,0.8,4,"872, 1233, 1835, 2677","361, 601, 842",360.88662046705247,170.54193003922413,"x/a=0.50, y/b=0.25, 90 deg","x/a=0.20, y/b=0.50, 90 deg",4.480264616979116,1.7630465073151804,90.0,1.0,0.250067743939106,0.04970178223065659,0.23763893138693298,3.8423067830178064
3,100.0,30.0,1.6,1,2914,,,45.5328937377116,"x/a=0.50, y/b=0.25, 90 deg","x/a=0.50, y/b=0.50, 90 deg",90.44540043079779,6.952316412646985,90.0,0.0,0.2502446435599205,0.06629523803543602,0.0,0.0
4,60.0,30.0,1.0,1,2088,,,169.43614598511573,"x/a=0.50, y/b=0.25, 90 deg","x/a=0.20, y/b=0.50, 90 deg",45.851433511886924,5.351712648227264,90.0,1.0,0.2500273457449922,0.06630771712653347,0.23344860322943525,0.0
5,80.0,40.0,1.6,1,1880,,,49.54429976636205,"x/a=0.50, y/b=0.25, 90 deg","x/a=0.20, y/b=0.50, 90 deg",20.66999512593329,1.608421635284255,90.0,1.0,0.25002734574499225,0.049704768108333235,0.23759979450399535,0.0
6,60.0,40.0,1.6,1,2172,,,57.28451055406817,"x/a=0.50, y/b=0.25, 90 deg","x/a=0.20, y/b=0.50, 90 deg",31.56760215242715,4.80738240494304,90.0,1.0,0.25001325065902197,0.04971243700764557,0.23758448268455862,0.0
